Gratis #,Sold To Code,Ship To Code,TotalPrice,Truck Tonnage,Branch Plant,Area,Branch Plant Code,Capacity Check,Pick Up Date,Enquiry #,Enquiry Date,Carrier,Empties,Stock Availibility,Status,Promised Date,Short Name,Related RPM
,1110969,1110969,,H16,VBB - CN va kho tai Tien Giang,A35,6425,No,2020-08-14T00:00:00,95061564,2020-08-14T18:12:56.113,CTY TNHH VAN TAI THANH THIEN NGOC,C,Yes,Awaiting Confirmation,2020-08-15T00:00:00,BN,
,1110969,1110969,,H16,VBB - CN va kho tai Tien Giang,A35,6425,No,2020-08-14T00:00:00,95061563,2020-08-14T18:12:52.390,CTY TNHH VAN TAI THANH THIEN NGOC,C,Yes,Awaiting Confirmation,2020-08-15T00:00:00,BN,
,1111416,1111416,,H04,,A50,,Yes,2020-08-14T00:00:00,95061562,2020-08-14T18:12:36.393,,W,No,Awaiting Confirmation,2020-08-15T00:00:00,S09F,
,1110969,1110969,,H16,VBB - CN va kho tai Tien Giang,A35,6425,No,2020-08-14T00:00:00,95061561,2020-08-14T18:11:22.927,CTY TNHH VAN TAI THANH THIEN NGOC,C,Yes,Awaiting Confirmation,2020-08-15T00:00:00,BN,
,1110969,1110969,,H16,VBB - CN va kho tai Tien Giang,A35,6425,No,2020-08-14T00:00:00,95061560,2020-08-14T18:11:22.680,CTY TNHH VAN TAI THANH THIEN NGOC,C,Yes,Awaiting Confirmation,2020-08-15T00:00:00,BN,
,1110969,1110969,,H16,VBB - CN va kho tai Tien Giang,A35,6425,No,2020-08-14T00:00:00,95061559,2020-08-14T18:10:13.530,CTY TNHH VAN TAI THANH THIEN NGOC,C,Yes,Awaiting Confirmation,2020-08-15T00:00:00,BN,
,1110969,1110969,,H16,VBB - CN va kho tai Tien Giang,A35,6425,No,2020-08-14T00:00:00,95061558,2020-08-14T18:08:12.367,CTY TNHH VAN TAI THANH THIEN NGOC,C,Yes,Awaiting Confirmation,2020-08-15T00:00:00,BN,
,1110979,1110979,,H16,VBB - kho Vung Tau,A47,6432,No,2020-08-14T00:00:00,95061557,2020-08-14T11:55:21.277,Cty CP Van Tai O To so 2,C,No,Awaiting Confirmation,2020-08-15T00:00:00,PT9,
,1110979,1110979,,C16,,A47,,No,2020-08-14T00:00:00,95061556,2020-08-14T11:51:36.747,,C,No,Awaiting Confirmation,2020-08-15T00:00:00,PT9,
,1110979,1110979,,C16,,A47,,No,2020-08-14T00:00:00,95061555,2020-08-14T11:51:21.060,,C,No,Awaiting Confirmation,2020-08-15T00:00:00,PT9,
,1110979,1110979,,C16,,A47,,No,2020-08-14T00:00:00,95061554,2020-08-14T11:46:29.633,,C,No,Awaiting Confirmation,2020-08-15T00:00:00,PT9,
,1110979,1110979,,C16,,A47,,No,2020-08-14T00:00:00,95061553,2020-08-14T11:44:56.563,,C,No,Awaiting Confirmation,2020-08-15T00:00:00,PT9,
,1111416,1111416,,C16,,A50,,Yes,2020-08-14T00:00:00,95061552,2020-08-14T11:43:38.203,,W,No,Awaiting Confirmation,2020-08-15T00:00:00,S09F,
,1110979,1110979,,C16,,A47,,No,2020-08-14T00:00:00,95061551,2020-08-14T11:42:49.670,,C,No,Awaiting Confirmation,2020-08-15T00:00:00,PT9,
,1110979,1110979,,C16,,A47,,No,2020-08-14T00:00:00,95061550,2020-08-14T11:41:44.997,,C,No,Awaiting Confirmation,2020-08-15T00:00:00,PT9,
,1110979,1110979,,C16,,A47,,No,2020-08-14T00:00:00,95061549,2020-08-14T11:36:43.387,,C,No,Awaiting Confirmation,2020-08-15T00:00:00,PT9,
,1110979,1110979,,C16,,A47,,No,2020-08-14T00:00:00,95061548,2020-08-14T11:34:33.307,,C,No,Awaiting Confirmation,2020-08-15T00:00:00,PT9,
,1110979,1110979,,C16,,A47,,No,2020-08-14T00:00:00,95061547,2020-08-14T11:34:24.890,,C,No,Awaiting Confirmation,2020-08-15T00:00:00,PT9,
